player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P002877,002877,carlos-cobos,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/carlos-cobos/profile/002877/,CARLOS,COBOS,192,Guard,Spain,1988-05-11T00:00:00,MAL,Unicaja Malaga,ok
P005145,005145,jake-cohen,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jake-cohen/profile/005145/,JAKE,COHEN,210,Forward,Israel,1990-09-25T00:00:00,TEL,Maccabi Playtika Tel Aviv,ok
P009848,009848,sandy-cohen,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/sandy-cohen/profile/009848/,SANDY,COHEN,198,Guard,United States of America,1995-09-22T00:00:00,TEL,Maccabi Playtika Tel Aviv,ok
P007989,007989,norris-cole,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/norris-cole/profile/007989/,NORRIS,COLE,188,Guard,United States of America,1988-10-13T00:00:00,ASV,LDLC ASVEL Villeurbanne,ok
PBDB,BDB,dejuan-collins,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/dejuan-collins/profile/BDB/,DeJUAN,COLLINS,188,Guard,United States of America,1976-11-20T00:00:00,ZAL,Zalgiris Kaunas,ok
P005463,005463,mardy-collins,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/mardy-collins/profile/005463/,MARDY,COLLINS,196,Forward,United States of America,1984-08-04T00:00:00,STR,Strasbourg,ok
P006533,006533,quino-colom,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/quino-colom/profile/006533/,QUINO,COLOM,188,Guard,Spain,1988-11-01T00:00:00,RED,Crvena Zvezda mts Belgrade,ok
P009783,009783,bonzie-colson,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/bonzie-colson/profile/009783/,BONZIE,COLSON,198,Forward,United States of America,1996-01-12T00:00:00,ULK,Fenerbahce Beko Istanbul,ok
P002403,002403,luis-conde,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/luis-conde/profile/002403/,LUIS,CONDE,190,Guard,Spain,1993-02-17T00:00:00,MAL,Unicaja Malaga,ok
PTGT,TGT,will-conroy,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/will-conroy/profile/TGT/,WILL,CONROY,187,Guard,United States of America,1982-12-08T00:00:00,VIR,Virtus VidiVici,ok
