player_id,name,query_used,match_status,athlete_id,matched_name,matched_club,position_3cat,formation_position_name,formation_position_short,height_365,candidates
P006640,"OZDEMIROGLU, DOGUS",Dogus Ozdemiroglu,exact,64394,Dogus Ozdemiroglu,Turk Telekom,Guard,Point Guard,PG,"6' 3""",64394:Dogus Ozdemiroglu:Turk Telekom
PBNW,"OZER, CEVHER",Cevher Ozer,not_found,,,,,,,,
P004179,"OZMIZRAK, KARTAL",Kartal Ozmizrak,exact,64391,Kartal Ozmizrak,Mersin Buyuksehir,Guard,Point Guard,PG,"6' 2""",64391:Kartal Ozmizrak:Mersin Buyuksehir
PAWO,"PACHULIA, ZAZA",Zaza Pachulia,not_found,,,,,,,,
PLIF,"PACUN, BORA HUN",Bora Hun Pacun,not_found,,,,,,,,
P002705,"PAGE, DYLAN",Dylan Page,ambiguous,,,,,,,,224662:Jalen Page:Rostock Seawolves; 147471:Arrinten Page:Providence; 187961:Marie-Eve Paget:None; 235092:Jack Pagenkopf:Science City Jena
P006739,"PAJOLA, ALESSANDRO",Alessandro Pajola,exact,71278,Alessandro Pajola,,Guard,Shooting Guard,SG,"6' 4""",71278:Alessandro Pajola:None
PTGU,"PALACIO, MILT",Milt Palacio,exact,71052,Juan Diego Tello,Regatas,Forward,Power Forward,PF,"6' 9""",71052:Juan Diego Tello:Regatas
P003603,"PALACIOS, JUAN",Juan Palacios,exact,71052,Juan Diego Tello,Regatas,Forward,Power Forward,PF,"6' 9""",71052:Juan Diego Tello:Regatas
P013283,"PALATIN, GUY",Guy Palatin,exact,64747,Guy Platin,Hapoel Tel Aviv,Guard,Shooting Guard,SG,"6' 4""",64747:Guy Platin:Hapoel Tel Aviv
P004175,"PAMULA, PIOTR",Piotr Pamula,exact,186509,Piotr Pamuła,,Guard,Shooting Guard,SG,"6' 5""",186509:Piotr Pamuła:None
P006433,"PANGOS, KEVIN",Kevin Pangos,exact,53270,Kevin Pangos,Esenler Erokspor,Guard,Point Guard,PG,"6' 2""",53270:Kevin Pangos:Esenler Erokspor
PLSK,"PANIN, VADIM",Vadim Panin,not_found,,,,,,,,
PLRF,"PANKO, ANDY",Andy Panko,not_found,,,,,,,,
PABK,"PANTELIADIS, SPYRIDON",Spyridon Panteliadis,not_found,,,,,,,,
P007634,"PANTZAR, MELWIN",Melwin Pantzar,exact,64437,Melwin Pantzar,Bilbao Basket,Guard,Point Guard,PG,"6' 3""",64437:Melwin Pantzar:Bilbao Basket
P009815,"PAPADAKIS, KONSTANTINOS",Konstantinos Papadakis,exact,121848,Kostas Papadakis,Peristeri,Guard,Shooting Guard,SG,"6' 3""",121848:Kostas Papadakis:Peristeri
PAPP,"PAPADOPOULOS, LAZAROS",Lazaros Papadopoulos,not_found,,,,,,,,
P005844,"PAPAGIANNIS, GEORGIOS",Georgios Papagiannis,exact,53676,Georgios Papagiannis,Anadolu Efes,Center,Center,C,"7' 2""",53676:Georgios Papagiannis:Anadolu Efes
PATW,"PAPALOUKAS, THEODOROS",Theodoros Papaloukas,not_found,,,,,,,,
