season_code,player_id,team_id,two_points_attempted,three_points_attempted,two_point_event_count,three_point_event_count,field_goal_attempts_season,field_goal_attempts_event,field_goal_attempts_diff
E2016,P003521,IST,34,23,34.0,23.0,57,57.0,0.0
E2017,P003521,IST,40,10,40.0,10.0,50,50.0,0.0
E2018,P003521,IST,33,21,33.0,21.0,54,54.0,0.0
E2019,P003521,IST,14,13,14.0,13.0,27,27.0,0.0
E2020,P003521,IST,14,14,14.0,14.0,28,28.0,0.0
E2021,P003521,IST,0,1,0.0,1.0,1,1.0,0.0
E2022,P003521,IST,2,2,2.0,2.0,4,4.0,0.0
E2018,P007553,CAN,6,10,6.0,10.0,16,16.0,0.0
E2023,P007553,PAN,35,9,35.0,9.0,44,44.0,0.0
E2021,P006707,MIL,3,4,3.0,4.0,7,7.0,0.0
E2022,P006707,MIL,1,5,1.0,5.0,6,6.0,0.0
E2019,P009863,OLY,79,30,79.0,30.0,109,109.0,0.0
E2020,P009863,MUN,385,130,385.0,130.0,515,515.0,0.0
E2021,P009863,BAS,239,100,239.0,100.0,339,339.0,0.0
E2022,P009863,TEL,272,196,272.0,196.0,468,468.0,0.0
E2023,P009863,TEL,263,110,263.0,110.0,373,373.0,0.0
E2024,P009863,ULK,170,81,170.0,81.0,251,251.0,0.0
E2025,P009863,ULK,330,133,330.0,133.0,463,463.0,0.0
E2024,P012597,BAS,114,66,114.0,66.0,180,180.0,0.0
E2025,P012597,MUN,36,22,36.0,22.0,58,58.0,0.0
E2018,P002644,CAN,126,0,126.0,0.0,126,126.0,0.0
E2024,P013696,ULK,17,0,17.0,0.0,17,17.0,0.0
E2011,PATS,BIL,163,5,163.0,5.0,168,168.0,0.0
E2014,PATS,BER,130,0,130.0,0.0,130,130.0,0.0
E2016,PATS,UNK,83,0,83.0,0.0,83,83.0,0.0
E2009,PLNE,ORL,36,58,36.0,58.0,94,94.0,0.0
E2012,PLNE,CHL,7,15,7.0,15.0,22,22.0,0.0
E2012,P004428,PAN,40,44,40.0,44.0,84,84.0,0.0
E2010,P003068,MAL,1,1,1.0,1.0,2,2.0,0.0
E2008,PTGC,BAS,33,1,33.0,1.0,34,34.0,0.0
E2009,PTGC,BAS,68,7,68.0,7.0,75,75.0,0.0
E2010,PTGC,BAS,142,8,142.0,8.0,150,150.0,0.0
E2011,PTGC,IST,113,1,113.0,1.0,114,114.0,0.0
E2012,PTGC,IST,103,3,103.0,3.0,106,106.0,0.0
E2013,PTGC,IST,20,0,20.0,0.0,20,20.0,0.0
E2015,PTGC,MIL,47,0,47.0,0.0,47,47.0,0.0
E2019,P009923,KHI,0,0,0.0,0.0,0,0.0,0.0
E2020,P009923,KHI,0,0,0.0,0.0,0,0.0,0.0
E2016,PBWZ,BAS,84,23,84.0,23.0,107,107.0,0.0
E2013,P005206,GSS,8,13,8.0,13.0,21,21.0,0.0
E2019,P005775,RED,97,139,97.0,139.0,236,236.0,0.0
E2020,P005775,DYR,95,181,95.0,181.0,276,276.0,0.0
E2021,P005775,DYR,50,143,50.0,143.0,193,193.0,0.0
E2022,P005775,MIL,68,154,68.0,154.0,222,222.0,0.0
E2023,P005775,MIL,6,5,6.0,5.0,11,11.0,0.0
E2018,P002741,BUD,92,0,92.0,0.0,92,92.0,0.0
E2013,P004586,MAD,2,0,2.0,0.0,2,2.0,0.0
E2021,P011242,BAS,0,4,0.0,4.0,4,4.0,0.0
E2010,PBMV,MAL,12,4,12.0,4.0,16,16.0,0.0
E2008,P001170,BAR,23,23,23.0,23.0,46,46.0,0.0
E2018,P003490,MUN,132,47,132.0,47.0,179,179.0,0.0
E2019,P003490,MUN,95,67,95.0,67.0,162,162.0,0.0
E2020,P003490,ULK,90,34,90.0,34.0,124,124.0,0.0
E2021,P003490,ULK,17,6,17.0,6.0,23,23.0,0.0
E2011,P003420,MIL,0,0,0.0,0.0,0,0.0,0.0
E2008,PBCW,BAR,30,40,30.0,40.0,70,70.0,0.0
E2009,PBCW,BAR,2,1,2.0,1.0,3,3.0,0.0
E2007,PLGR,ULK,18,36,18.0,36.0,54,54.0,0.0
E2008,PLGR,ULK,8,35,8.0,35.0,43,43.0,0.0
E2009,PLGR,ULK,2,10,2.0,10.0,12,12.0,0.0
E2007,PADS,BAR,86,120,86.0,120.0,206,206.0,0.0
E2008,PADS,BAR,31,83,31.0,83.0,114,114.0,0.0
E2009,PADS,BAR,15,68,15.0,68.0,83,83.0,0.0
E2011,PADS,CTU,23,79,23.0,79.0,102,102.0,0.0
E2012,PADS,MIL,3,19,3.0,19.0,22,22.0,0.0
E2009,P001868,MAR,9,29,9.0,29.0,38,38.0,0.0
E2007,PDHD,TEL,170,1,170.0,1.0,171,171.0,0.0
